Fecha	ID Dispositivo	Dispositivo	Grupo Usuario	Usuario	Evento
17/12/2019 07:15	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	117257	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:15	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	117825	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:15	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	47042	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:12	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	1705	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:12	542185216	FaceStation 2 542185216 (192.168.1.201)	All Users	1028	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:11	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	115807	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:11	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	115181	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:11	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	736	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:10	542185220	FaceStation 2 542185220 (192.168.1.202)	All Users	118758	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:09	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	118535	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:07	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	118350	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:06	542185239	FaceStation 2 542185239 (192.168.1.200)	All Users	115802	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:05	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	1689	1:N Autenticaciￃﾳn exitosa (Rostro)
17/12/2019 07:05	542340159	FaceStation 2 542340159 (192.168.1.204)	All Users	1689	1:N Autenticaciￃﾳn exitosa (Rostro)
